🌱 Seeded from 448-clause winner: 448 clauses
🚀 Starting exhaustive m=37 scan for 10.0h (36000s)
   Strategy weights: [('mutation_light', 0.3), ('mutation_heavy', 0.2), ('two_cycle', 0.2), ('hamiltonian_span', 0.2), ('multi_cycle', 0.1)]
   Checkpoint every 25 trials
   Output: D:\djr82\Documents\workbuddy\2026-07-03-16-29-36\no3inline-rigidity\analysis\results/mega_sweep_CHECKPOINT.json
  [   25 trials, 0.0h elapsed, 10.0h remaining, 1.5s/trial, best_clauses=448, best_violations=None, tested=22]
  [   50 trials, 0.0h elapsed, 10.0h remaining, 1.4s/trial, best_clauses=448, best_violations=None, tested=41]
  [  125 trials, 0.0h elapsed, 10.0h remaining, 1.4s/trial, best_clauses=448, best_violations=None, tested=95]
  [  150 trials, 0.1h elapsed, 9.9h remaining, 1.4s/trial, best_clauses=448, best_violations=None, tested=114]
  [  175 trials, 0.1h elapsed, 9.9h remaining, 1.4s/trial, best_clauses=448, best_violations=None, tested=132]
  [  200 trials, 0.1h elapsed, 9.9h remaining, 1.3s/trial, best_clauses=448, best_violations=17, tested=148]
  [  225 trials, 0.1h elapsed, 9.9h remaining, 1.7s/trial, best_clauses=448, best_violations=17, tested=170]
  [  250 trials, 0.1h elapsed, 9.9h remaining, 1.6s/trial, best_clauses=448, best_violations=17, tested=189]
  [  275 trials, 0.1h elapsed, 9.9h remaining, 1.6s/trial, best_clauses=448, best_violations=17, tested=207]
  [  300 trials, 0.1h elapsed, 9.9h remaining, 1.6s/trial, best_clauses=448, best_violations=17, tested=227]
  [  325 trials, 0.1h elapsed, 9.9h remaining, 1.6s/trial, best_clauses=448, best_violations=17, tested=245]
  [  350 trials, 0.1h elapsed, 9.9h remaining, 1.5s/trial, best_clauses=448, best_violations=17, tested=260]
  [  375 trials, 0.2h elapsed, 9.8h remaining, 1.5s/trial, best_clauses=448, best_violations=17, tested=279]
  [  450 trials, 0.2h elapsed, 9.8h remaining, 1.5s/trial, best_clauses=448, best_violations=17, tested=334]
  [  475 trials, 0.2h elapsed, 9.8h remaining, 1.5s/trial, best_clauses=448, best_violations=17, tested=352]
  [  500 trials, 0.2h elapsed, 9.8h remaining, 1.5s/trial, best_clauses=448, best_violations=17, tested=372]
  [  525 trials, 0.2h elapsed, 9.8h remaining, 1.5s/trial, best_clauses=448, best_violations=17, tested=392]
  [  550 trials, 0.2h elapsed, 9.8h remaining, 1.5s/trial, best_clauses=448, best_violations=17, tested=411]
  [  575 trials, 0.2h elapsed, 9.8h remaining, 1.4s/trial, best_clauses=448, best_violations=17, tested=427]
  [  600 trials, 0.2h elapsed, 9.8h remaining, 1.4s/trial, best_clauses=448, best_violations=17, tested=443]
  [  625 trials, 0.3h elapsed, 9.7h remaining, 1.5s/trial, best_clauses=448, best_violations=17, tested=459]
  [  650 trials, 0.3h elapsed, 9.7h remaining, 1.5s/trial, best_clauses=448, best_violations=17, tested=478]
  [  675 trials, 0.3h elapsed, 9.7h remaining, 1.5s/trial, best_clauses=448, best_violations=17, tested=496]
  [  700 trials, 0.3h elapsed, 9.7h remaining, 1.5s/trial, best_clauses=448, best_violations=17, tested=515]
  [  725 trials, 0.3h elapsed, 9.7h remaining, 1.5s/trial, best_clauses=448, best_violations=17, tested=532]
  [  750 trials, 0.3h elapsed, 9.7h remaining, 1.5s/trial, best_clauses=448, best_violations=17, tested=553]
  [  825 trials, 0.3h elapsed, 9.7h remaining, 1.5s/trial, best_clauses=448, best_violations=17, tested=603]
  [  875 trials, 0.4h elapsed, 9.6h remaining, 1.5s/trial, best_clauses=448, best_violations=17, tested=637]
  [  950 trials, 0.4h elapsed, 9.6h remaining, 1.5s/trial, best_clauses=448, best_violations=17, tested=686]
  [  975 trials, 0.4h elapsed, 9.6h remaining, 1.5s/trial, best_clauses=448, best_violations=17, tested=707]
  [ 1025 trials, 0.4h elapsed, 9.6h remaining, 1.5s/trial, best_clauses=448, best_violations=17, tested=745]
  [ 1050 trials, 0.4h elapsed, 9.6h remaining, 1.5s/trial, best_clauses=448, best_violations=17, tested=763]
  [ 1075 trials, 0.4h elapsed, 9.6h remaining, 1.5s/trial, best_clauses=448, best_violations=17, tested=782]
  [ 1100 trials, 0.4h elapsed, 9.6h remaining, 1.5s/trial, best_clauses=448, best_violations=17, tested=799]
  [ 1150 trials, 0.5h elapsed, 9.5h remaining, 1.5s/trial, best_clauses=448, best_violations=17, tested=838]
  [ 1225 trials, 0.5h elapsed, 9.5h remaining, 1.4s/trial, best_clauses=448, best_violations=17, tested=891]
