m  N  pairs  conf  r(m)  E[conf]
4 6 15 0 0.000000e+00 0.000000e+00
5 10 45 2 4.444444e-02 4.444444e-01
6 15 105 3 2.857143e-02 4.285714e-01
8 28 378 15 3.968254e-02 1.111111e+00
10 45 990 23 2.323232e-02 1.045455e+00
12 66 2145 43 2.004662e-02 1.323077e+00
15 105 5460 80 1.465201e-02 1.538462e+00
18 153 11628 153 1.315789e-02 2.013158e+00
22 231 26565 228 8.582722e-03 1.982609e+00
26 325 52650 388 7.369421e-03 2.395062e+00
30 435 94395 544 5.763017e-03 2.506912e+00
35 595 176715 828 4.685511e-03 2.787879e+00

FIT r(m)=0.3084*m^(-1.144); exponent 2-alpha=+0.856
