[Benders] 目标有效候选=500  min_distance=10  seed=20260721
  [10/500] 耗时 17s  割集大小=16  最近判定=unsat
  [20/500] 耗时 35s  割集大小=26  最近判定=unsat
  [30/500] 耗时 52s  割集大小=36  最近判定=unsat
  [40/500] 耗时 70s  割集大小=46  最近判定=unsat
  [50/500] 耗时 87s  割集大小=56  最近判定=unsat
  [60/500] 耗时 104s  割集大小=66  最近判定=unsat
  [70/500] 耗时 121s  割集大小=76  最近判定=unsat
  [80/500] 耗时 138s  割集大小=86  最近判定=unsat
  [90/500] 耗时 155s  割集大小=96  最近判定=unsat
  [100/500] 耗时 173s  割集大小=106  最近判定=unsat
  [110/500] 耗时 190s  割集大小=116  最近判定=unsat
  [120/500] 耗时 207s  割集大小=126  最近判定=unsat
  [130/500] 耗时 225s  割集大小=136  最近判定=unsat
  [140/500] 耗时 243s  割集大小=146  最近判定=unsat
  [150/500] 耗时 261s  割集大小=156  最近判定=unsat
  [160/500] 耗时 280s  割集大小=166  最近判定=unsat
  [170/500] 耗时 298s  割集大小=176  最近判定=unsat
  [180/500] 耗时 316s  割集大小=186  最近判定=unsat
  [190/500] 耗时 334s  割集大小=196  最近判定=unsat
  [200/500] 耗时 352s  割集大小=206  最近判定=unsat
  [210/500] 耗时 370s  割集大小=216  最近判定=unsat
  [220/500] 耗时 387s  割集大小=226  最近判定=unsat
  [230/500] 耗时 404s  割集大小=236  最近判定=unsat
  [240/500] 耗时 422s  割集大小=246  最近判定=unsat
  [250/500] 耗时 439s  割集大小=256  最近判定=unsat
  [260/500] 耗时 456s  割集大小=266  最近判定=unsat
  [270/500] 耗时 472s  割集大小=276  最近判定=unsat
  [280/500] 耗时 488s  割集大小=286  最近判定=unsat
  [290/500] 耗时 504s  割集大小=296  最近判定=unsat
  [300/500] 耗时 519s  割集大小=306  最近判定=unsat
  [310/500] 耗时 535s  割集大小=316  最近判定=unsat
  [320/500] 耗时 551s  割集大小=326  最近判定=unsat
  [330/500] 耗时 566s  割集大小=336  最近判定=unsat
  [340/500] 耗时 582s  割集大小=346  最近判定=unsat
  [350/500] 耗时 598s  割集大小=356  最近判定=unsat
  [360/500] 耗时 613s  割集大小=366  最近判定=unsat
  [370/500] 耗时 629s  割集大小=376  最近判定=unsat
  [380/500] 耗时 645s  割集大小=386  最近判定=unsat
  [390/500] 耗时 660s  割集大小=396  最近判定=unsat
  [400/500] 耗时 676s  割集大小=406  最近判定=unsat
  [410/500] 耗时 691s  割集大小=416  最近判定=unsat
  [420/500] 耗时 707s  割集大小=426  最近判定=unsat
  [430/500] 耗时 723s  割集大小=436  最近判定=unsat
  [440/500] 耗时 738s  割集大小=446  最近判定=unsat
  [450/500] 耗时 754s  割集大小=456  最近判定=unsat
  [460/500] 耗时 770s  割集大小=466  最近判定=unsat
  [470/500] 耗时 786s  割集大小=476  最近判定=unsat
  [480/500] 耗时 801s  割集大小=486  最近判定=unsat
  [490/500] 耗时 817s  割集大小=496  最近判定=unsat
  [500/500] 耗时 833s  割集大小=506  最近判定=unsat

===== Benders 第一轮汇总 =====
有效判定=500  判定分布={'unsat': 500}
割集大小=506  耗时=833s
本轮未找到解（符合 m=37 的难度预期）。已 sound 排除 500 幅 UNSAT 2-因子 + 0 幅非法 2-因子。
写入 results_round1.json
