[step 5000] T=2.582 E=12 3s
[step 10000] T=2.222 E=20 8s
[step 15000] T=1.913 E=24 12s
[step 20000] T=1.646 E=28 16s
[step 25000] T=1.417 E=16 20s
[step 30000] T=1.220 E=16 24s
[step 35000] T=1.050 E=16 28s
[step 40000] T=0.904 E=16 32s
[step 45000] T=0.778 E=16 36s
[step 50000] T=0.669 E=16 40s
[step 55000] T=0.576 E=16 44s
[step 60000] T=0.496 E=16 48s
[step 65000] T=0.427 E=16 52s
[step 70000] T=0.367 E=16 56s
[step 75000] T=0.316 E=16 60s
[step 80000] T=0.272 E=16 64s
[step 85000] T=0.234 E=16 68s
[step 90000] T=0.202 E=16 72s
[step 95000] T=0.174 E=16 76s
[step 100000] T=0.149 E=16 80s
[step 105000] T=0.129 E=16 85s
[step 110000] T=0.111 E=16 88s
[step 115000] T=0.095 E=16 91s
[step 120000] T=0.082 E=16 95s
[step 125000] T=0.071 E=16 98s
[step 130000] T=0.061 E=16 102s
[step 135000] T=0.052 E=16 106s
[step 140000] T=0.045 E=16 110s
[step 145000] T=0.039 E=16 115s
[step 150000] T=0.033 E=16 120s
[step 155000] T=0.029 E=16 125s
[step 160000] T=0.025 E=16 129s
[step 165000] T=0.021 E=16 133s
[step 170000] T=0.018 E=16 138s
[step 175000] T=0.016 E=16 142s
[step 180000] T=0.014 E=16 147s
[step 185000] T=0.012 E=16 151s
[step 190000] T=0.010 E=16 156s
[step 195000] T=0.010 E=16 160s
[step 200000] T=0.010 E=16 164s
[step 205000] T=0.010 E=16 168s
[step 210000] T=0.010 E=16 172s
[step 215000] T=0.010 E=16 176s
[step 220000] T=0.010 E=16 180s
[step 225000] T=0.010 E=16 184s
[step 230000] T=0.010 E=16 189s
[step 235000] T=0.010 E=16 193s
[step 240000] T=0.010 E=16 197s
[step 245000] T=0.010 E=16 201s
[step 250000] T=0.010 E=16 205s
[step 255000] T=0.010 E=16 208s
[step 260000] T=0.010 E=16 211s
[step 265000] T=0.010 E=16 215s
[step 270000] T=0.010 E=16 218s
[step 275000] T=0.010 E=16 222s
[step 280000] T=0.010 E=16 225s
[step 285000] T=0.010 E=16 229s
[step 290000] T=0.010 E=16 232s
[step 295000] T=0.010 E=16 236s
[step 300000] T=0.010 E=16 240s
[step 305000] T=0.010 E=16 245s
[step 310000] T=0.010 E=16 249s
[step 315000] T=0.010 E=16 253s
[step 320000] T=0.010 E=16 257s
[step 325000] T=0.010 E=16 261s
[step 330000] T=0.010 E=16 265s
[step 335000] T=0.010 E=16 269s
[step 340000] T=0.010 E=16 274s
[step 345000] T=0.010 E=16 278s
[step 350000] T=0.010 E=16 283s
[step 355000] T=0.010 E=16 287s
[step 360000] T=0.010 E=16 291s
[step 365000] T=0.010 E=16 295s
[step 370000] T=0.010 E=16 300s
[step 375000] T=0.010 E=16 304s
[step 380000] T=0.010 E=16 308s
[step 385000] T=0.010 E=16 312s
[step 390000] T=0.010 E=16 316s
[step 395000] T=0.010 E=16 321s
[step 400000] T=0.010 E=16 325s
DONE found= False final_E= 16 step= None
