m,n,status,found,verify,solve_time,build_time,line_cons,workers,timelimit,note
14,28,OPTIMAL,14,True,0.9,1.5,25954,8,120,ok
15,30,OPTIMAL,15,True,2.0,2.3,34270,8,120,ok
16,32,OPTIMAL,16,True,5.4,3.1,44282,8,120,ok
17,34,UNKNOWN,0,,120.1,5.2,56026,8,120,ok
18,36,UNKNOWN,0,,120.1,6.0,70798,8,120,ok
19,38,UNKNOWN,0,,120.3,7.4,87618,8,120,ok
20,40,UNKNOWN,0,,120.3,10.3,108270,8,120,ok
21,42,UNKNOWN,0,,300.4,13.7,131426,8,300,ok
22,44,,,,NA,46.0,157926,8,300,ok
23,46,,,,NA,11.8,188026,8,300,ok
24,48,,,,NA,13.6,224334,8,300,ok
