round=10 elapsed=0.4s
round=20 elapsed=0.8s
round=30 elapsed=1.2s
round=40 elapsed=1.5s
round=50 elapsed=1.9s
round=60 elapsed=2.3s
round=70 elapsed=2.7s
round=80 elapsed=3.1s
round=90 elapsed=3.5s
round=100 elapsed=3.8s
round=110 elapsed=4.2s
round=120 elapsed=4.6s
round=130 elapsed=5.0s
round=140 elapsed=5.4s
round=150 elapsed=5.7s
round=160 elapsed=6.1s
round=170 elapsed=6.5s
round=180 elapsed=6.9s
round=190 elapsed=7.3s
round=200 elapsed=7.6s
round=210 elapsed=8.0s
round=220 elapsed=8.4s
round=230 elapsed=8.8s
round=240 elapsed=9.2s
round=250 elapsed=9.6s
round=260 elapsed=9.9s
round=270 elapsed=10.3s
round=280 elapsed=10.7s
round=290 elapsed=11.1s
round=300 elapsed=11.5s
round=310 elapsed=11.8s
round=320 elapsed=12.2s
round=330 elapsed=12.6s
round=340 elapsed=13.0s
round=350 elapsed=13.4s
round=360 elapsed=13.7s
round=370 elapsed=14.1s
round=380 elapsed=14.5s
round=390 elapsed=14.9s
round=400 elapsed=15.3s
round=410 elapsed=15.7s
round=420 elapsed=16.0s
round=430 elapsed=16.4s
round=440 elapsed=16.8s
round=450 elapsed=17.2s
round=460 elapsed=17.6s
round=470 elapsed=17.9s
round=480 elapsed=18.3s
round=490 elapsed=18.7s
round=500 elapsed=19.1s
round=510 elapsed=19.5s
round=520 elapsed=19.9s
round=530 elapsed=20.2s
round=540 elapsed=20.6s
round=550 elapsed=21.0s
round=560 elapsed=21.4s
round=570 elapsed=21.8s
round=580 elapsed=22.1s
round=590 elapsed=22.5s
round=600 elapsed=22.9s
round=610 elapsed=23.3s
round=620 elapsed=23.7s
round=630 elapsed=24.1s
round=640 elapsed=24.4s
round=650 elapsed=24.8s
round=660 elapsed=25.2s
round=670 elapsed=25.6s
round=680 elapsed=26.0s
round=690 elapsed=26.4s
round=700 elapsed=26.7s
round=710 elapsed=27.1s
round=720 elapsed=27.5s
round=730 elapsed=27.9s
round=740 elapsed=28.3s
round=750 elapsed=28.6s
round=760 elapsed=29.0s
round=770 elapsed=29.4s
round=780 elapsed=29.8s
round=790 elapsed=30.2s
round=800 elapsed=30.6s
round=810 elapsed=30.9s
round=820 elapsed=31.3s
round=830 elapsed=31.7s
round=840 elapsed=32.1s
round=850 elapsed=32.5s
round=860 elapsed=32.8s
round=870 elapsed=33.2s
round=880 elapsed=33.6s
round=890 elapsed=34.0s
round=900 elapsed=34.4s
round=910 elapsed=34.8s
round=920 elapsed=35.1s
round=930 elapsed=35.5s
round=940 elapsed=35.9s
round=950 elapsed=36.3s
round=960 elapsed=36.7s
round=970 elapsed=37.1s
round=980 elapsed=37.4s
round=990 elapsed=37.8s
round=1000 elapsed=38.2s
round=1010 elapsed=38.6s
round=1020 elapsed=39.0s
round=1030 elapsed=39.3s
round=1040 elapsed=39.7s
round=1050 elapsed=40.1s
round=1060 elapsed=40.5s
round=1070 elapsed=40.9s
round=1080 elapsed=41.3s
round=1090 elapsed=41.6s
round=1100 elapsed=42.0s
round=1110 elapsed=42.4s
round=1120 elapsed=42.8s
round=1130 elapsed=43.2s
round=1140 elapsed=43.5s
round=1150 elapsed=43.9s
round=1160 elapsed=44.3s
round=1170 elapsed=44.7s
round=1180 elapsed=45.1s
round=1190 elapsed=45.5s
round=1200 elapsed=45.8s
round=1210 elapsed=46.2s
round=1220 elapsed=46.6s
round=1230 elapsed=47.0s
round=1240 elapsed=47.4s
round=1250 elapsed=47.7s
round=1260 elapsed=48.1s
round=1270 elapsed=48.5s
round=1280 elapsed=48.9s
round=1290 elapsed=49.3s
round=1300 elapsed=49.7s
round=1310 elapsed=50.0s
round=1320 elapsed=50.4s
round=1330 elapsed=50.8s
round=1340 elapsed=51.2s
round=1350 elapsed=51.6s
round=1360 elapsed=51.9s
round=1370 elapsed=52.3s
round=1380 elapsed=52.7s
round=1390 elapsed=53.1s
round=1400 elapsed=53.5s
round=1410 elapsed=53.9s
round=1420 elapsed=54.3s
round=1430 elapsed=54.6s
round=1440 elapsed=55.0s
round=1450 elapsed=55.4s
round=1460 elapsed=55.8s
round=1470 elapsed=56.2s
round=1480 elapsed=56.6s
round=1490 elapsed=56.9s
round=1500 elapsed=57.3s
round=1510 elapsed=57.7s
round=1520 elapsed=58.1s
round=1530 elapsed=58.5s
round=1540 elapsed=58.9s
round=1550 elapsed=59.2s
round=1560 elapsed=59.6s
round=1570 elapsed=60.0s
round=1580 elapsed=60.4s
round=1590 elapsed=60.8s
round=1600 elapsed=61.2s
round=1610 elapsed=61.5s
round=1620 elapsed=61.9s
round=1630 elapsed=62.3s
round=1640 elapsed=62.7s
round=1650 elapsed=63.1s
round=1660 elapsed=63.4s
round=1670 elapsed=63.8s
round=1680 elapsed=64.2s
round=1690 elapsed=64.6s
round=1700 elapsed=65.0s
round=1710 elapsed=65.4s
round=1720 elapsed=65.7s
round=1730 elapsed=66.1s
round=1740 elapsed=66.5s
round=1750 elapsed=66.9s
round=1760 elapsed=67.3s
round=1770 elapsed=67.7s
round=1780 elapsed=68.0s
round=1790 elapsed=68.4s
round=1800 elapsed=68.8s
round=1810 elapsed=69.2s
round=1820 elapsed=69.6s
round=1830 elapsed=69.9s
round=1840 elapsed=70.3s
round=1850 elapsed=70.7s
round=1860 elapsed=71.1s
round=1870 elapsed=71.5s
round=1880 elapsed=71.9s
round=1890 elapsed=72.2s
round=1900 elapsed=72.6s
round=1910 elapsed=73.0s
round=1920 elapsed=73.4s
round=1930 elapsed=73.8s
round=1940 elapsed=74.2s
round=1950 elapsed=74.5s
round=1960 elapsed=74.9s
round=1970 elapsed=75.3s
round=1980 elapsed=75.7s
round=1990 elapsed=76.1s
round=2000 elapsed=76.5s
round=2010 elapsed=76.8s
round=2020 elapsed=77.2s
round=2030 elapsed=77.6s
round=2040 elapsed=78.0s
round=2050 elapsed=78.4s
round=2060 elapsed=78.7s
round=2070 elapsed=79.1s
round=2080 elapsed=79.5s
round=2090 elapsed=79.9s
round=2100 elapsed=80.3s
round=2110 elapsed=80.7s
round=2120 elapsed=81.1s
round=2130 elapsed=81.4s
round=2140 elapsed=81.8s
round=2150 elapsed=82.2s
round=2160 elapsed=82.6s
round=2170 elapsed=83.0s
round=2180 elapsed=83.3s
round=2190 elapsed=83.7s
round=2200 elapsed=84.1s
round=2210 elapsed=84.5s
round=2220 elapsed=84.9s
round=2230 elapsed=85.3s
round=2240 elapsed=85.6s
round=2250 elapsed=86.0s
round=2260 elapsed=86.4s
round=2270 elapsed=86.8s
round=2280 elapsed=87.2s
round=2290 elapsed=87.6s
round=2300 elapsed=87.9s
