round=10 elapsed=0.7s
round=20 elapsed=1.1s
round=30 elapsed=1.5s
round=40 elapsed=1.8s
round=50 elapsed=2.2s
round=60 elapsed=2.6s
round=70 elapsed=3.0s
round=80 elapsed=3.4s
round=90 elapsed=3.7s
round=100 elapsed=4.1s
round=110 elapsed=4.5s
round=120 elapsed=4.9s
round=130 elapsed=5.3s
round=140 elapsed=5.6s
round=150 elapsed=6.0s
round=160 elapsed=6.4s
round=170 elapsed=6.8s
round=180 elapsed=7.2s
round=190 elapsed=7.6s
round=200 elapsed=7.9s
round=210 elapsed=8.3s
round=220 elapsed=8.7s
round=230 elapsed=9.1s
round=240 elapsed=9.5s
round=250 elapsed=9.8s
round=260 elapsed=10.2s
round=270 elapsed=10.6s
round=280 elapsed=11.0s
round=290 elapsed=11.4s
round=300 elapsed=11.7s
round=310 elapsed=12.1s
round=320 elapsed=12.5s
round=330 elapsed=12.9s
round=340 elapsed=13.3s
round=350 elapsed=13.7s
round=360 elapsed=14.0s
round=370 elapsed=14.4s
round=380 elapsed=14.8s
round=390 elapsed=15.2s
round=400 elapsed=15.6s
round=410 elapsed=15.9s
round=420 elapsed=16.3s
round=430 elapsed=16.7s
round=440 elapsed=17.1s
round=450 elapsed=17.5s
round=460 elapsed=17.8s
round=470 elapsed=18.2s
round=480 elapsed=18.6s
round=490 elapsed=19.0s
round=500 elapsed=19.4s
round=510 elapsed=19.8s
round=520 elapsed=20.1s
round=530 elapsed=20.5s
round=540 elapsed=20.9s
round=550 elapsed=21.3s
round=560 elapsed=21.7s
round=570 elapsed=22.1s
round=580 elapsed=22.4s
round=590 elapsed=22.8s
round=600 elapsed=23.2s
round=610 elapsed=23.6s
round=620 elapsed=24.0s
round=630 elapsed=24.3s
round=640 elapsed=24.7s
round=650 elapsed=25.1s
round=660 elapsed=25.5s
round=670 elapsed=25.9s
round=680 elapsed=26.3s
round=690 elapsed=26.6s
round=700 elapsed=27.0s
round=710 elapsed=27.4s
round=720 elapsed=27.8s
round=730 elapsed=28.2s
round=740 elapsed=28.6s
round=750 elapsed=28.9s
round=760 elapsed=29.3s
round=770 elapsed=29.7s
round=780 elapsed=30.1s
round=790 elapsed=30.5s
round=800 elapsed=30.9s
round=810 elapsed=31.2s
round=820 elapsed=31.6s
round=830 elapsed=32.0s
round=840 elapsed=32.4s
round=850 elapsed=32.8s
round=860 elapsed=33.2s
round=870 elapsed=33.5s
round=880 elapsed=33.9s
round=890 elapsed=34.3s
round=900 elapsed=34.7s
round=910 elapsed=35.1s
round=920 elapsed=35.5s
round=930 elapsed=35.8s
round=940 elapsed=36.2s
round=950 elapsed=36.6s
round=960 elapsed=37.0s
round=970 elapsed=37.4s
round=980 elapsed=37.7s
round=990 elapsed=38.1s
round=1000 elapsed=38.5s
round=1010 elapsed=38.9s
round=1020 elapsed=39.3s
round=1030 elapsed=39.7s
round=1040 elapsed=40.0s
round=1050 elapsed=40.4s
round=1060 elapsed=40.8s
round=1070 elapsed=41.2s
round=1080 elapsed=41.6s
round=1090 elapsed=42.0s
round=1100 elapsed=42.3s
round=1110 elapsed=42.7s
round=1120 elapsed=43.1s
round=1130 elapsed=43.5s
round=1140 elapsed=43.9s
round=1150 elapsed=44.2s
round=1160 elapsed=44.6s
round=1170 elapsed=45.0s
round=1180 elapsed=45.4s
round=1190 elapsed=45.8s
round=1200 elapsed=46.2s
round=1210 elapsed=46.5s
round=1220 elapsed=46.9s
round=1230 elapsed=47.3s
round=1240 elapsed=47.7s
round=1250 elapsed=48.1s
round=1260 elapsed=48.5s
round=1270 elapsed=48.8s
round=1280 elapsed=49.2s
round=1290 elapsed=49.6s
round=1300 elapsed=50.0s
round=1310 elapsed=50.4s
round=1320 elapsed=50.8s
round=1330 elapsed=51.1s
round=1340 elapsed=51.5s
round=1350 elapsed=51.9s
round=1360 elapsed=52.3s
round=1370 elapsed=52.7s
round=1380 elapsed=53.0s
round=1390 elapsed=53.4s
round=1400 elapsed=53.8s
round=1410 elapsed=54.2s
round=1420 elapsed=54.6s
round=1430 elapsed=55.0s
round=1440 elapsed=55.4s
round=1450 elapsed=55.7s
round=1460 elapsed=56.1s
round=1470 elapsed=56.5s
round=1480 elapsed=56.9s
round=1490 elapsed=57.3s
round=1500 elapsed=57.7s
round=1510 elapsed=58.0s
round=1520 elapsed=58.4s
round=1530 elapsed=58.8s
round=1540 elapsed=59.2s
round=1550 elapsed=59.6s
round=1560 elapsed=60.0s
round=1570 elapsed=60.3s
round=1580 elapsed=60.7s
round=1590 elapsed=61.1s
round=1600 elapsed=61.5s
round=1610 elapsed=61.9s
round=1620 elapsed=62.3s
round=1630 elapsed=62.6s
round=1640 elapsed=63.0s
round=1650 elapsed=63.4s
round=1660 elapsed=63.8s
round=1670 elapsed=64.2s
round=1680 elapsed=64.6s
round=1690 elapsed=64.9s
round=1700 elapsed=65.3s
round=1710 elapsed=65.7s
round=1720 elapsed=66.1s
round=1730 elapsed=66.5s
round=1740 elapsed=66.9s
round=1750 elapsed=67.3s
round=1760 elapsed=67.6s
round=1770 elapsed=68.0s
round=1780 elapsed=68.4s
round=1790 elapsed=68.8s
round=1800 elapsed=69.2s
round=1810 elapsed=69.6s
round=1820 elapsed=69.9s
round=1830 elapsed=70.3s
round=1840 elapsed=70.7s
round=1850 elapsed=71.1s
round=1860 elapsed=71.5s
round=1870 elapsed=71.9s
round=1880 elapsed=72.3s
round=1890 elapsed=72.6s
round=1900 elapsed=73.0s
round=1910 elapsed=73.4s
round=1920 elapsed=73.8s
round=1930 elapsed=74.2s
round=1940 elapsed=74.6s
round=1950 elapsed=74.9s
round=1960 elapsed=75.3s
round=1970 elapsed=75.7s
round=1980 elapsed=76.1s
round=1990 elapsed=76.5s
round=2000 elapsed=76.9s
round=2010 elapsed=77.2s
round=2020 elapsed=77.6s
round=2030 elapsed=78.0s
round=2040 elapsed=78.4s
round=2050 elapsed=78.8s
round=2060 elapsed=79.2s
round=2070 elapsed=79.5s
round=2080 elapsed=79.9s
round=2090 elapsed=80.3s
round=2100 elapsed=80.7s
round=2110 elapsed=81.1s
round=2120 elapsed=81.5s
round=2130 elapsed=81.8s
round=2140 elapsed=82.2s
round=2150 elapsed=82.6s
round=2160 elapsed=83.0s
round=2170 elapsed=83.4s
round=2180 elapsed=83.8s
round=2190 elapsed=84.1s
round=2200 elapsed=84.5s
round=2210 elapsed=84.9s
round=2220 elapsed=85.3s
round=2230 elapsed=85.7s
round=2240 elapsed=86.1s
round=2250 elapsed=86.5s
round=2260 elapsed=86.8s
round=2270 elapsed=87.2s
round=2280 elapsed=87.6s
round=2290 elapsed=88.0s
round=2300 elapsed=88.4s
round=2310 elapsed=88.8s
round=2320 elapsed=89.1s
round=2330 elapsed=89.5s
round=2340 elapsed=89.9s
mode=mine m=37 threads=16384 grid=64 target=90s seed=987654321
rounds=2343 elapsed=90.0s best_bad=1073741824 found=0 total_configs=38387712
bad_hist (bin:count [avg_heat, avg_x, avg_s]):
  264:          1   [0.0278, 244.00, 20.00]
  272:          1   [0.0417, 240.00, 32.00]
  276:          1   [0.0602, 256.00, 20.00]
  280:          6   [0.0262, 245.33, 34.67]
  284:         10   [0.0343, 245.60, 38.40]
  288:          8   [0.0318, 257.00, 31.00]
  292:          9   [0.0273, 266.67, 25.33]
