m,n,build_s,solve_s,status,found,n_cycles,cycle_lengths,ts
5,10,0.0,0.0,OPTIMAL,5,3,"1,2,2",2026-07-13T09:25:18
6,12,0.0,0.0,OPTIMAL,6,2,"1,5",2026-07-13T09:25:18
7,14,0.0,0.0,OPTIMAL,7,2,"3,4",2026-07-13T09:25:18
8,16,0.1,0.0,OPTIMAL,8,1,8,2026-07-13T09:25:18
9,18,0.1,0.1,OPTIMAL,9,1,9,2026-07-13T09:25:18
10,20,0.2,0.1,OPTIMAL,10,2,"4,6",2026-07-13T09:25:19
11,22,0.3,0.2,OPTIMAL,11,1,11,2026-07-13T09:25:19
12,24,0.4,1.0,OPTIMAL,12,2,"1,11",2026-07-13T09:25:21
13,26,0.6,0.3,OPTIMAL,13,2,"1,12",2026-07-13T09:25:22
14,28,0.8,0.4,OPTIMAL,14,3,"2,4,8",2026-07-13T09:25:23
15,30,1.1,0.8,OPTIMAL,15,2,"3,12",2026-07-13T09:25:26
16,32,1.5,2.2,OPTIMAL,16,2,"1,15",2026-07-13T09:25:30
17,34,1.9,2.4,OPTIMAL,17,3,"5,6,6",2026-07-13T09:25:35
18,36,2.6,92.0,OPTIMAL,18,1,18,2026-07-13T09:27:10
19,38,3.5,121.2,OPTIMAL,19,3,"1,5,13",2026-07-13T09:29:15
20,40,4.7,600.2,UNKNOWN,0,0,,2026-07-13T09:39:21
21,42,10.1,600.1,UNKNOWN,0,0,,2026-07-13T09:49:34
